sector,TURNOVER (TRILLION NAIRA),R&DSTAFF
Computer and related activities,591582000.0,33
Financial intermediation,61491493513.0,63
"Health, cultural and social work",32500000.0,24
Hotels and restaurants,31000000000.0,24
Insurance and pension funding,7112646000.0,24
Other business activities,0.0,12
Post and telecommunications,6500000000.0,9
"Publishing, reproduction of recorded media",5480645221.0,54
Real estate activities,475000000.0,9
basic metals and recycling,27501000.0,15
chemicals and chemical products,62581698775.0,447
fabricated metal etc,1057759104.0,78
food and beverages,706520080902.0,141
furniture,4829500586.0,33
leather tanning and dressing etc,296000000.0,18
"machinery, equipment and vehicles",39867276175.0,60
non metallic mineral products,218000000.0,12
rubber and plastics products,4588249000.0,9
textiles and wearing apparel,16338453458.0,111
wood and paper products etc,278200000.0,108
